"Gender","Age","Driving_License","Region_Code","Previously_Insured","Vehicle_Age","Vehicle_Damage","Annual_Premium","Policy_Sales_Channel","Vintage","Response"
"Male",28,1,30,1,"< 1 Year","No",24946,152,146,0
"Male",33,1,28,1,"1-2 Year","No",30149,124,274,0
"Male",64,1,50,1,"1-2 Year","No",2630,8,63,0
"Male",30,1,39,1,"1-2 Year","Yes",2630,156,16,0
"Female",24,1,25,0,"< 1 Year","Yes",2630,152,82,0
"Male",22,1,45,1,"< 1 Year","No",25120,152,289,0
"Female",24,1,26,1,"< 1 Year","No",26446,152,93,0
"Male",45,1,8,1,"1-2 Year","No",62164,26,220,0
"Male",50,1,29,0,"1-2 Year","Yes",78441,124,112,0
"Male",59,1,28,1,"1-2 Year","No",64206,124,106,0
"Female",23,1,35,1,"< 1 Year","Yes",22634,152,150,0
"Female",40,1,41,0,"1-2 Year","Yes",30097,154,82,0
"Female",77,1,28,0,"1-2 Year","Yes",58070,13,168,0
"Female",33,1,47,0,"< 1 Year","Yes",34529,156,101,0
"Male",65,1,1,0,"1-2 Year","Yes",2630,124,35,0
"Male",77,1,28,1,"1-2 Year","No",46559,122,134,0
"Female",28,1,15,1,"< 1 Year","No",50217,152,43,0
"Female",31,1,46,0,"1-2 Year","Yes",2630,157,47,1
"Female",64,1,28,0,"1-2 Year","Yes",33345,26,244,1
"Male",24,1,25,1,"< 1 Year","No",20349,152,29,0
"Male",25,1,2,0,"< 1 Year","No",27134,152,65,0
"Female",75,1,37,1,"1-2 Year","No",30493,124,80,0
"Female",54,1,35,1,"1-2 Year","No",2630,152,258,0
"Female",42,1,28,0,"1-2 Year","Yes",49778,26,61,0
"Male",29,1,23,0,"< 1 Year","Yes",37519,124,281,0
"Female",65,1,36,0,"1-2 Year","Yes",2630,124,157,0
"Female",21,1,8,1,"< 1 Year","No",30964,160,188,0
"Male",39,1,15,0,"1-2 Year","Yes",31695,124,267,1
"Male",23,1,26,1,"< 1 Year","No",39001,152,219,0
"Female",26,1,28,1,"< 1 Year","No",34403,152,76,0
"Female",23,1,12,1,"< 1 Year","No",35474,152,160,0
"Male",55,1,6,0,"1-2 Year","Yes",2630,157,24,0
"Male",41,1,33,0,"1-2 Year","Yes",35821,124,24,1
"Male",28,1,28,1,"< 1 Year","No",33113,152,37,0
"Female",26,1,3,0,"< 1 Year","Yes",23664,152,91,0
"Male",59,1,28,1,"1-2 Year","No",49535,26,170,0
"Male",61,1,28,1,"1-2 Year","No",37055,26,78,0
"Male",21,1,28,0,"< 1 Year","Yes",57803,152,235,0
"Female",47,1,28,1,"1-2 Year","No",37224,152,195,0
"Female",42,1,14,0,"1-2 Year","Yes",26763,124,174,1
"Female",39,1,41,0,"1-2 Year","Yes",47899,26,207,0
"Female",37,1,28,0,"1-2 Year","Yes",49326,124,216,1
"Female",24,1,4,1,"< 1 Year","No",31882,152,193,0
"Male",24,1,18,0,"< 1 Year","Yes",29152,152,284,1
"Female",21,1,46,1,"< 1 Year","No",24627,152,116,0
"Female",20,1,7,0,"< 1 Year","No",2630,160,173,0
"Male",68,1,38,0,"1-2 Year","Yes",41379,26,164,1
"Male",24,1,51,1,"< 1 Year","No",50170,152,202,0
"Male",36,1,46,1,"1-2 Year","No",27214,124,90,0
"Male",30,1,36,0,"1-2 Year","Yes",67314,124,221,0
"Male",25,1,3,1,"< 1 Year","No",25009,152,67,0
"Female",25,1,30,1,"< 1 Year","No",27258,152,121,0
"Male",31,1,33,0,"1-2 Year","Yes",2630,157,181,1
"Female",42,1,28,1,"1-2 Year","No",35037,26,182,0
"Male",51,1,28,0,"1-2 Year","Yes",45624,26,24,0
"Female",44,1,29,0,"1-2 Year","Yes",35170,26,39,1
"Male",24,1,18,0,"< 1 Year","Yes",31002,154,295,0
"Male",114,1,33,0,"1-2 Year","Yes",28725,156,69,1
"Male",41,1,15,0,"1-2 Year","Yes",24783,124,246,1
"Male",25,1,31,1,"< 1 Year","No",2630,152,294,0
"Female",41,1,28,0,"1-2 Year","Yes",40521,52,67,0
"Female",78,1,28,0,"> 2 Years","Yes",32881,26,114,0
"Male",42,1,28,1,"1-2 Year","Yes",45230,26,296,0
"Male",46,1,38,0,"1-2 Year","Yes",29057,124,54,0
"Male",22,1,45,1,"< 1 Year","No",29571,160,297,0
"Female",22,1,21,1,"< 1 Year","No",33099,152,95,0
"Female",26,1,27,1,"< 1 Year","No",21809,152,282,0
"Male",33,1,3,0,"< 1 Year","Yes",24566,155,82,1
"Male",22,1,3,1,"< 1 Year","No",40633,152,30,0
"Male",32,1,46,0,"< 1 Year","Yes",2630,124,94,0
"Female",46,1,46,0,"1-2 Year","Yes",2630,156,13,0
"Female",75,1,39,1,"1-2 Year","No",33684,26,143,0
"Male",23,1,46,1,"< 1 Year","No",27745,152,46,0
"Female",24,1,33,1,"< 1 Year","No",35021,152,151,0
"Male",50,1,11,0,"1-2 Year","Yes",30586,26,41,1
"Male",39,1,36,0,"1-2 Year","Yes",32098,26,174,1
"Male",37,1,28,1,"1-2 Year","No",40907,26,189,0
"Female",24,1,29,1,"< 1 Year","No",78229,152,190,0
"Male",30,1,46,0,"< 1 Year","Yes",36996,26,138,1
"Female",24,1,25,0,"< 1 Year","No",28309,152,197,0
"Female",41,1,30,1,"1-2 Year","No",26844,26,183,0
"Female",52,1,41,0,"1-2 Year","Yes",29121,4,120,1
"Female",42,1,28,0,"1-2 Year","Yes",43278,26,133,1
"Male",89,1,28,0,"1-2 Year","Yes",36346,26,190,1
"Female",21,1,8,0,"< 1 Year","Yes",35530,152,70,0
"Female",26,1,30,1,"< 1 Year","No",28001,152,38,0
"Male",67,1,50,0,"> 2 Years","Yes",29251,124,223,1
"Male",49,1,39,0,"> 2 Years","Yes",41108,124,212,1
"Female",47,1,46,1,"1-2 Year","No",41740,91,88,0
"Male",48,1,28,0,"> 2 Years","Yes",27525,26,175,1
"Male",50,1,43,0,"1-2 Year","Yes",24428,124,17,0
"Male",27,1,43,1,"< 1 Year","No",28370,152,157,0
"Male",46,1,18,1,"1-2 Year","No",34174,124,108,0
"Female",73,1,48,0,"> 2 Years","Yes",2630,15,12,0
"Female",31,1,27,1,"< 1 Year","No",24645,152,66,0
"Female",28,1,8,0,"< 1 Year","Yes",37914,26,163,1
"Female",23,1,41,1,"< 1 Year","No",49412,152,278,0
"Male",54,1,28,0,"1-2 Year","Yes",2630,124,219,0
"Male",24,1,28,0,"< 1 Year","Yes",31311,152,285,0
"Male",61,1,0,0,"1-2 Year","Yes",2630,26,61,0
"Female",22,1,8,0,"< 1 Year","Yes",59861,152,102,0
"Male",21,1,21,1,"< 1 Year","No",34225,152,283,0
"Male",50,1,28,0,"1-2 Year","Yes",29026,26,131,1
"Male",49,1,28,0,"1-2 Year","No",44179,26,226,0
"Female",21,1,46,0,"< 1 Year","Yes",26929,160,128,0
"Male",27,1,28,0,"< 1 Year","Yes",44360,124,167,1
"Male",25,1,45,1,"< 1 Year","No",28661,152,176,0
"Male",74,1,28,0,"1-2 Year","Yes",45482,122,214,0
"Male",45,1,48,0,"1-2 Year","Yes",2630,26,226,1
"Female",44,1,28,0,"> 2 Years","Yes",49894,26,170,1
"Male",26,1,28,1,"< 1 Year","No",44840,152,16,0
"Female",25,1,9,0,"< 1 Year","Yes",35251,152,123,1
"Male",37,1,28,0,"1-2 Year","Yes",32039,26,110,1
"Female",25,1,50,1,"< 1 Year","No",38575,152,70,0
"Female",29,1,11,0,"< 1 Year","Yes",64287,152,268,1
"Male",67,1,29,1,"1-2 Year","No",2630,124,212,0
"Male",66,1,20,0,"> 2 Years","Yes",2630,26,283,0
"Female",23,1,46,1,"< 1 Year","No",24046,152,274,0
"Female",23,1,37,0,"< 1 Year","Yes",28057,152,151,0
"Female",21,1,28,0,"< 1 Year","Yes",2630,152,260,0
"Male",23,1,28,0,"< 1 Year","Yes",36056,124,266,0
"Female",23,1,15,1,"< 1 Year","No",29300,152,254,0
"Female",26,1,45,1,"< 1 Year","No",36641,152,149,0
"Male",38,1,28,0,"1-2 Year","Yes",24814,124,178,1
"Male",22,1,50,1,"< 1 Year","No",27475,160,211,0
"Male",40,1,28,0,"1-2 Year","Yes",46796,122,191,0
"Female",24,1,11,1,"< 1 Year","No",54302,152,188,0
"Female",30,1,35,1,"< 1 Year","No",19397,152,172,0
"Male",35,1,15,0,"1-2 Year","Yes",35040,157,246,1
"Female",74,1,33,1,"1-2 Year","No",29962,132,53,0
"Female",25,1,15,0,"< 1 Year","No",37082,152,170,0
"Male",27,1,29,0,"1-2 Year","Yes",24306,157,142,1
"Male",115,1,45,0,"1-2 Year","Yes",34753,124,225,1
"Male",24,1,45,0,"< 1 Year","Yes",22649,152,35,0
"Female",24,1,25,1,"< 1 Year","No",42342,152,147,0
"Female",24,1,8,1,"< 1 Year","No",40771,152,106,0
"Female",20,1,2,1,"< 1 Year","No",28394,160,43,0
"Female",41,1,28,0,"1-2 Year","Yes",32515,139,190,1
"Female",20,1,30,0,"< 1 Year","Yes",31994,160,179,0
"Female",71,1,28,1,"1-2 Year","No",63724,124,240,0
"Male",44,1,28,1,"1-2 Year","No",26866,60,70,0
"Male",25,1,8,1,"< 1 Year","No",37983,160,74,0
"Male",25,1,18,1,"< 1 Year","No",29361,152,166,0
"Male",58,1,28,0,"1-2 Year","Yes",58011,125,221,0
"Female",23,1,10,0,"< 1 Year","Yes",21420,152,112,1
"Female",23,1,46,1,"< 1 Year","No",23412,152,217,0
"Male",48,1,41,0,"1-2 Year","Yes",24993,124,136,1
"Male",56,1,46,0,"< 1 Year","Yes",2630,124,153,1
"Female",45,1,28,0,"1-2 Year","Yes",39142,26,18,0
"Male",44,1,28,0,"1-2 Year","Yes",42979,124,89,0
"Male",47,1,41,0,"1-2 Year","Yes",2630,124,259,0
"Female",27,1,3,0,"< 1 Year","Yes",28318,152,209,0
"Female",36,1,28,0,"1-2 Year","Yes",37406,122,282,0
"Male",28,1,50,0,"< 1 Year","Yes",28805,152,73,0
"Female",23,1,37,1,"< 1 Year","No",32675,152,136,0
"Male",60,1,47,0,"> 2 Years","Yes",2630,26,151,0
"Female",29,1,28,1,"< 1 Year","No",40485,152,836,0
"Male",60,1,14,0,"1-2 Year","Yes",2630,157,140,0
"Female",24,1,41,1,"< 1 Year","No",44199,152,108,0
"Female",24,1,8,0,"< 1 Year","Yes",46227,152,280,1
"Male",48,1,39,1,"1-2 Year","No",2630,124,150,0
"Female",27,1,8,1,"< 1 Year","No",43204,152,275,0
"Female",46,1,12,0,"1-2 Year","Yes",21034,26,100,0
"Male",42,1,28,0,"1-2 Year","Yes",34380,26,217,1
"Female",21,1,11,1,"< 1 Year","No",40510,160,218,0
"Female",65,1,28,1,"1-2 Year","No",48205,26,230,0
"Male",28,1,41,1,"< 1 Year","No",44735,152,37,0
"Female",72,1,28,0,"> 2 Years","Yes",49771,124,148,0
"Male",22,1,39,1,"< 1 Year","Yes",2630,152,52,0
"Female",40,1,28,0,"1-2 Year","Yes",44455,13,120,1
"Female",45,1,28,1,"1-2 Year","No",39459,122,245,0
"Female",24,1,30,0,"< 1 Year","Yes",27493,152,80,0
"Male",24,1,28,1,"< 1 Year","Yes",21117,152,259,0
"Male",56,1,28,0,"1-2 Year","Yes",47456,124,276,0
"Male",60,1,46,1,"1-2 Year","No",26958,11,179,0
"Female",61,1,28,0,"1-2 Year","Yes",41666,124,299,0
"Female",23,1,50,1,"< 1 Year","No",53417,160,268,0
"Female",50,1,37,0,"1-2 Year","Yes",44008,124,229,0
"Male",23,1,2,0,"1-2 Year","Yes",32374,26,77,1
"Female",25,1,41,1,"< 1 Year","No",43152,152,184,0
"Male",51,1,15,1,"1-2 Year","No",26313,14,85,0
"Female",50,1,28,0,"1-2 Year","Yes",42919,26,261,1
"Female",68,1,28,0,"1-2 Year","Yes",32458,13,296,0
"Male",29,1,30,0,"< 1 Year","Yes",39232,152,161,1
"Male",46,1,23,0,"1-2 Year","Yes",31643,91,15,1
"Female",80,1,28,0,"1-2 Year","Yes",81474,154,127,1
"Female",26,1,33,1,"< 1 Year","No",18280,152,97,0
"Female",34,1,21,1,"< 1 Year","No",25656,152,141,0
"Female",26,1,25,1,"< 1 Year","No",52216,152,56,0
"Female",35,1,28,0,"1-2 Year","Yes",31120,124,109,0
"Male",20,1,6,1,"< 1 Year","No",2630,160,239,0
"Female",20,1,44,0,"< 1 Year","Yes",40018,160,152,0
"Female",25,1,3,1,"< 1 Year","No",29636,152,16,0
"Female",34,1,19,0,"1-2 Year","Yes",37931,124,23,1
"Male",34,1,36,0,"1-2 Year","Yes",2630,160,28,0
"Female",20,1,28,0,"< 1 Year","Yes",50838,160,289,0
"Male",43,1,28,0,"1-2 Year","Yes",35072,124,94,0
"Female",23,1,30,1,"< 1 Year","No",27745,152,281,0
"Female",29,1,41,0,"1-2 Year","Yes",2630,124,205,1
"Male",26,1,19,0,"< 1 Year","Yes",2630,152,278,1
"Female",20,1,25,0,"< 1 Year","No",2630,160,36,0
"Female",32,1,15,1,"< 1 Year","No",37803,152,124,0
"Female",46,1,28,0,"1-2 Year","Yes",34909,124,229,0
"Male",34,1,28,0,"1-2 Year","Yes",27536,26,95,0
"Male",23,1,9,1,"< 1 Year","No",37844,152,140,0
"Female",27,1,23,1,"< 1 Year","No",26013,152,94,0
"Female",24,1,15,1,"< 1 Year","No",34634,152,256,0
"Male",47,1,46,1,"1-2 Year","No",23697,26,47,0
"Female",26,1,10,1,"< 1 Year","No",30272,152,216,0
"Female",21,1,13,0,"< 1 Year","No",35124,152,224,0
"Female",57,1,7,1,"1-2 Year","No",44370,124,64,0
"Female",23,1,8,1,"< 1 Year","No",29819,152,214,0
"Female",29,1,15,1,"< 1 Year","No",28234,152,84,0
"Male",22,1,28,1,"< 1 Year","No",25824,153,266,0
"Male",53,1,28,1,"1-2 Year","Yes",67759,26,54,0
"Male",20,1,47,0,"< 1 Year","Yes",39277,160,124,0
"Female",29,1,3,0,"1-2 Year","No",21461,154,61,0
"Male",67,1,28,0,"1-2 Year","Yes",28537,154,207,0
"Male",73,1,20,0,"> 2 Years","Yes",2630,26,204,0
"Female",32,1,28,0,"1-2 Year","No",30989,124,48,1
"Male",25,1,28,1,"< 1 Year","No",37917,152,235,0
"Female",29,1,21,1,"< 1 Year","No",31177,152,113,0
"Female",26,1,28,1,"< 1 Year","No",37247,152,108,0
"Male",53,1,8,0,"1-2 Year","Yes",27034,19,254,1
"Female",49,1,28,0,"> 2 Years","Yes",47791,124,215,1
"Female",26,1,41,0,"< 1 Year","Yes",2630,124,178,1
"Male",61,1,46,0,"1-2 Year","Yes",33655,124,120,0
"Female",49,1,33,0,"1-2 Year","Yes",34724,138,258,0
"Male",22,1,8,0,"< 1 Year","Yes",33434,26,96,0
"Male",50,1,41,1,"1-2 Year","Yes",35171,26,30,0
"Female",26,1,28,1,"< 1 Year","No",29196,151,125,0
"Male",28,1,50,1,"< 1 Year","No",33284,152,77,0
"Male",65,1,28,1,"1-2 Year","Yes",31841,26,175,0
"Female",53,1,26,0,"> 2 Years","Yes",32215,22,44,0
"Male",55,1,5,0,"1-2 Year","Yes",2630,157,72,0
"Male",22,1,15,0,"< 1 Year","Yes",30290,152,49,1
"Male",23,1,12,1,"< 1 Year","No",25076,152,220,0
"Male",43,1,48,0,"1-2 Year","Yes",2630,31,178,1
"Female",21,1,33,0,"< 1 Year","Yes",64463,152,15,0
"Female",47,1,28,1,"1-2 Year","No",39988,26,41,0
"Male",57,1,15,0,"1-2 Year","Yes",49288,124,100,1
"Female",44,1,29,0,"1-2 Year","Yes",26840,157,183,1
"Male",86,1,24,1,"< 1 Year","No",2630,152,283,0
"Female",25,1,15,0,"< 1 Year","Yes",38956,152,152,0
"Female",24,1,2,0,"< 1 Year","Yes",34833,152,48,0
"Female",36,1,28,0,"1-2 Year","Yes",23433,122,56,1
"Male",48,1,28,0,"1-2 Year","Yes",24211,124,132,1
"Female",66,1,31,1,"1-2 Year","No",2630,152,31,0
"Female",26,1,36,1,"< 1 Year","No",2630,152,56,0
"Male",23,1,12,1,"< 1 Year","No",21420,152,35,0
"Female",41,1,28,1,"1-2 Year","No",37377,26,197,0
"Female",62,1,8,1,"1-2 Year","No",32649,26,286,0
"Female",38,1,28,0,"1-2 Year","Yes",42746,124,79,1
"Female",58,1,50,1,"1-2 Year","No",26183,26,127,0
"Male",48,1,41,0,"1-2 Year","No",34571,26,115,0
"Female",23,1,2,0,"< 1 Year","Yes",32953,152,170,0
"Male",50,1,8,0,"1-2 Year","Yes",42408,26,204,1
"Male",38,1,26,0,"> 2 Years","Yes",2630,156,284,0
"Male",23,1,10,1,"< 1 Year","No",23571,152,121,0
"Female",48,1,28,0,"> 2 Years","Yes",33977,60,56,1
"Female",25,1,17,1,"< 1 Year","No",2630,152,237,0
"Male",78,1,46,0,"1-2 Year","Yes",32720,155,129,1
"Male",66,1,6,0,"1-2 Year","Yes",25471,26,12,0
"Male",43,1,41,0,"1-2 Year","Yes",28549,155,23,1
"Male",26,1,33,0,"< 1 Year","Yes",45466,152,130,1
"Male",52,1,28,1,"1-2 Year","No",29622,26,187,0
"Male",41,1,28,0,"1-2 Year","Yes",2630,124,10,0
"Male",24,1,12,1,"< 1 Year","No",33213,152,279,0
"Female",29,1,35,1,"1-2 Year","No",36552,124,65,0
"Female",24,1,8,1,"< 1 Year","No",37311,152,240,0
"Male",32,1,28,0,"1-2 Year","Yes",67399,124,126,1
"Male",56,1,15,0,"1-2 Year","Yes",37681,124,72,0
"Female",23,1,10,1,"< 1 Year","No",15873,152,250,0
"Male",62,1,28,0,"1-2 Year","Yes",45811,26,134,0
"Male",42,1,28,0,"1-2 Year","Yes",61252,124,227,1
"Male",39,1,41,0,"1-2 Year","Yes",30864,124,83,1
"Female",51,1,28,0,"1-2 Year","Yes",39123,122,44,0
"Male",21,1,15,1,"< 1 Year","No",32913,152,107,0
"Male",61,1,28,1,"1-2 Year","No",90109,13,153,0
"Female",24,1,6,1,"< 1 Year","No",20561,152,266,0
"Male",67,1,28,1,"1-2 Year","No",25233,26,126,0
"Female",25,1,3,1,"< 1 Year","No",27078,152,47,0
"Male",34,1,41,0,"1-2 Year","Yes",33045,124,89,0
"Male",24,1,18,0,"< 1 Year","Yes",2630,160,227,1
"Female",24,1,50,1,"< 1 Year","No",30655,152,297,0
"Male",50,1,47,1,"1-2 Year","No",31136,124,176,0
"Male",25,1,39,0,"< 1 Year","Yes",2630,152,156,0
"Female",23,1,37,1,"< 1 Year","Yes",30078,151,217,0
"Female",42,1,11,0,"1-2 Year","Yes",31402,26,235,0
"Female",42,1,3,1,"1-2 Year","No",34199,124,2508,0
"Female",26,1,41,0,"< 1 Year","Yes",2630,152,138,0
"Female",41,1,28,0,"1-2 Year","Yes",43271,124,21,1
"Male",28,1,32,1,"< 1 Year","No",37499,152,175,0
"Female",27,1,28,0,"1-2 Year","Yes",36156,26,250,1
"Male",23,1,28,1,"< 1 Year","Yes",46253,152,140,0
"Female",30,1,28,0,"< 1 Year","Yes",35310,26,161,0
"Male",24,1,30,1,"< 1 Year","No",23949,152,46,0
"Female",24,1,10,1,"< 1 Year","No",18095,152,103,0
"Female",22,1,49,1,"< 1 Year","No",33756,152,131,0
"Female",50,1,28,1,"1-2 Year","No",37308,152,53,0
"Female",68,1,28,1,"1-2 Year","No",49361,13,208,0
"Female",34,1,28,0,"1-2 Year","Yes",28478,124,46,0
"Female",37,1,36,0,"1-2 Year","Yes",37361,124,139,1
"Female",70,1,28,0,"1-2 Year","Yes",51699,124,61,0
"Male",24,1,29,1,"< 1 Year","No",46372,152,145,0
"Male",52,1,11,0,"> 2 Years","Yes",2630,122,295,0
"Female",25,1,36,1,"< 1 Year","No",37520,152,78,0
"Male",30,1,28,0,"1-2 Year","Yes",38214,154,213,1
"Male",27,1,30,1,"< 1 Year","No",2630,156,285,0
"Female",22,1,16,0,"< 1 Year","Yes",32824,152,159,1
"Male",23,1,13,0,"< 1 Year","Yes",23595,151,28,1
"Male",49,1,8,0,"1-2 Year","Yes",49584,7,152,1
"Male",56,1,28,0,"1-2 Year","Yes",33753,122,36,0
"Female",54,1,20,0,"> 2 Years","Yes",2630,124,127,0
"Female",28,1,18,0,"< 1 Year","Yes",32951,152,39,0
"Male",48,1,7,1,"1-2 Year","No",2630,26,138,0
"Male",33,1,28,0,"1-2 Year","Yes",2630,163,90,0
"Male",43,1,3,0,"1-2 Year","Yes",2630,157,262,0
"Male",41,1,21,1,"1-2 Year","No",48338,152,129,0
"Female",54,1,28,0,"> 2 Years","Yes",40452,124,14,1
"Male",56,1,28,1,"1-2 Year","No",44980,124,170,0
"Male",45,1,8,0,"1-2 Year","Yes",25601,26,222,1
"Male",35,1,5,1,"1-2 Year","No",32393,124,115,0
"Male",24,1,41,0,"< 1 Year","Yes",2630,26,115,1
"Male",27,1,36,1,"< 1 Year","No",31116,152,290,0
"Female",23,1,2,0,"< 1 Year","Yes",27834,152,30,0
"Female",37,1,28,0,"1-2 Year","Yes",46178,124,31,1
"Male",33,1,28,0,"< 1 Year","Yes",55304,122,134,1
"Male",27,1,4,0,"< 1 Year","Yes",27807,152,167,0
"Female",27,1,14,1,"< 1 Year","No",51916,152,298,0
"Male",24,1,28,1,"< 1 Year","No",55251,152,28,0
"Male",24,1,28,1,"1-2 Year","Yes",2630,156,276,0
"Male",26,1,6,1,"< 1 Year","No",24803,152,166,0
"Female",28,1,28,1,"< 1 Year","No",29574,152,259,0
"Female",53,1,50,0,"1-2 Year","Yes",2630,26,71,0
"Male",21,1,35,0,"< 1 Year","Yes",37005,160,250,0
"Male",37,1,28,1,"1-2 Year","No",2630,124,191,0
"Female",25,1,28,1,"< 1 Year","No",49659,26,73,0
"Female",22,1,35,0,"< 1 Year","Yes",2630,152,21,0
"Male",32,1,32,1,"< 1 Year","No",2630,152,284,0
"Male",50,1,28,0,"> 2 Years","Yes",49229,124,42,0
"Male",22,1,39,0,"< 1 Year","Yes",35684,152,122,0
"Male",42,1,8,0,"1-2 Year","No",28199,160,25,0
"Male",39,1,28,1,"1-2 Year","Yes",28797,124,144,1
"Male",63,1,11,0,"1-2 Year","No",33983,124,119,0
"Female",42,1,28,0,"> 2 Years","Yes",46523,26,88,1
"Female",44,1,40,0,"1-2 Year","Yes",36790,26,266,0
"Male",20,1,11,0,"< 1 Year","Yes",43426,160,68,0
"Male",69,1,0,0,"> 2 Years","Yes",2630,11,172,1
"Female",48,1,28,1,"1-2 Year","No",2630,26,258,0
"Male",25,1,8,1,"< 1 Year","No",46016,152,105,0
"Male",58,1,28,1,"1-2 Year","No",60859,124,107,0
"Female",41,1,8,1,"1-2 Year","No",42391,26,150,0
"Female",46,1,3,0,"1-2 Year","Yes",42157,26,90,0
"Male",32,1,2,0,"< 1 Year","Yes",38243,152,181,1
"Male",56,1,2,0,"1-2 Year","Yes",33414,26,37,0
"Male",24,1,7,1,"< 1 Year","No",43194,152,296,0
"Male",24,1,10,0,"< 1 Year","Yes",29356,152,271,0
"Female",21,1,41,1,"< 1 Year","No",2630,160,91,0
"Male",124,1,28,0,"1-2 Year","Yes",38016,26,209,0
"Male",21,1,13,0,"< 1 Year","Yes",32459,160,79,0
"Female",45,1,28,0,"1-2 Year","Yes",98979,124,53,1
"Female",21,1,46,1,"< 1 Year","No",27238,160,257,0
"Female",52,1,28,0,"1-2 Year","No",37786,52,16,0
"Male",50,1,28,0,"1-2 Year","Yes",36102,13,237,0
"Male",40,1,33,1,"1-2 Year","No",54295,160,82,0
"Male",39,1,13,0,"1-2 Year","Yes",31086,25,142,1
"Male",43,1,28,1,"1-2 Year","No",34334,55,99,0
"Female",24,1,30,1,"< 1 Year","No",31591,152,297,0
"Male",24,1,47,1,"< 1 Year","No",2630,152,228,0
"Male",28,1,10,1,"< 1 Year","No",22638,152,185,0
"Female",25,1,8,0,"< 1 Year","Yes",42739,152,238,0
"Male",53,1,28,1,"1-2 Year","No",25782,154,204,0
"Male",25,1,28,0,"< 1 Year","Yes",36959,163,192,0
"Female",53,1,28,0,"1-2 Year","Yes",44590,26,40,0
"Female",69,1,28,0,"1-2 Year","Yes",37676,124,244,1
"Male",76,1,28,0,"1-2 Year","Yes",69912,124,78,0
"Male",43,1,48,0,"1-2 Year","Yes",2630,124,144,0
"Female",31,1,21,1,"< 1 Year","No",33632,26,141,0
"Male",47,1,39,0,"1-2 Year","Yes",2630,156,164,1
"Female",23,1,16,1,"< 1 Year","No",39270,152,182,0
"Female",50,1,28,1,"1-2 Year","No",2630,52,75,0
"Male",57,1,8,0,"1-2 Year","Yes",2630,124,63,0
"Female",30,1,14,1,"< 1 Year","No",41733,152,120,0
"Male",24,1,37,0,"< 1 Year","Yes",32065,152,284,0
"Male",50,1,28,0,"1-2 Year","Yes",24915,26,77,0
"Female",27,1,33,1,"< 1 Year","No",28999,152,293,0
"Female",39,1,1,0,"1-2 Year","Yes",2630,152,24,0
"Male",33,1,50,0,"1-2 Year","Yes",34393,163,112,1
"Female",28,1,8,0,"1-2 Year","No",2630,157,192,1
"Female",55,1,39,1,"1-2 Year","No",44925,124,53,0
"Male",24,1,47,1,"< 1 Year","No",44732,152,81,0
"Female",42,1,29,0,"1-2 Year","Yes",39939,124,242,0
"Male",29,1,29,1,"< 1 Year","No",28396,152,271,0
"Female",22,1,30,1,"< 1 Year","No",34858,153,250,0
"Male",47,1,11,0,"1-2 Year","Yes",2630,156,34,1
"Male",24,1,12,1,"< 1 Year","No",19523,152,92,0
"Male",26,1,50,0,"< 1 Year","Yes",29255,152,199,0
"Male",36,1,20,0,"1-2 Year","No",2630,124,271,0
"Female",45,1,45,0,"1-2 Year","Yes",31467,124,228,0
"Male",29,1,46,1,"< 1 Year","No",40055,152,139,0
"Female",38,1,28,1,"1-2 Year","No",2630,26,25,0
"Female",55,1,28,0,"1-2 Year","Yes",40643,26,26,1
"Male",24,1,41,1,"< 1 Year","No",29790,152,178,0
"Female",25,1,24,0,"< 1 Year","Yes",31300,152,234,0
"Male",66,1,30,1,"1-2 Year","No",32650,26,288,0
"Male",84,1,11,0,"< 1 Year","Yes",2630,160,115,0
"Male",21,1,30,0,"< 1 Year","Yes",43857,152,228,1
"Male",24,1,38,1,"< 1 Year","No",26055,152,178,0
"Male",39,1,28,0,"1-2 Year","Yes",31585,26,100,1
"Female",56,1,28,1,"1-2 Year","No",37376,29,251,0
"Male",61,1,31,0,"> 2 Years","Yes",2630,9,140,0
"Female",38,1,22,0,"1-2 Year","Yes",38999,26,237,0
"Female",27,1,18,1,"< 1 Year","No",35551,163,228,0
"Female",45,1,28,0,"1-2 Year","Yes",2630,122,17,1
"Female",34,1,28,0,"1-2 Year","Yes",2630,160,65,0
"Female",40,1,33,0,"1-2 Year","Yes",2630,156,197,0
"Female",30,1,37,0,"< 1 Year","Yes",34551,152,254,0
"Female",24,1,36,1,"< 1 Year","No",70646,152,230,0
"Female",21,1,30,0,"< 1 Year","Yes",29074,156,205,1
"Male",76,1,44,0,"1-2 Year","Yes",2630,26,137,0
"Male",48,1,25,1,"1-2 Year","No",26409,124,290,0
"Male",52,1,24,1,"1-2 Year","No",29589,26,150,0
"Female",24,1,11,1,"< 1 Year","No",26256,152,138,0
"Female",21,1,36,0,"< 1 Year","No",31919,152,53,0
"Female",53,1,15,1,"1-2 Year","No",30489,160,219,0
"Male",39,1,18,0,"1-2 Year","Yes",2630,157,80,1
"Male",59,1,28,0,"> 2 Years","Yes",39156,124,36,0
"Male",35,1,28,1,"1-2 Year","No",26388,124,21,0
"Male",55,1,28,0,"1-2 Year","Yes",47906,26,212,0
"Male",71,1,28,0,"> 2 Years","Yes",40970,26,172,1
"Female",26,1,24,1,"< 1 Year","No",33043,152,59,0
"Female",24,1,47,0,"< 1 Year","Yes",23247,152,287,0
